,sitename,PISCO_CODE,lat_wgs84,lon_wgs84,associated_mpa,MPA_STATUS,YEAR_MPA,island,CAMPUS,year,month,day,method
24,ARROYO_QUEMADO_E,SARQ02,-120.1169667,34.46628333,NONE,reference,0,Mainland,UCSB,2010,7,26,SBTL_SWATH
25,ARROYO_QUEMADO_W,SARQ01,-120.1251833,34.46835,NONE,reference,0,Mainland,UCSB,2010,7,26,SBTL_SWATH
26,ASILOMAR_DC,SASL01,-121.9466773,36.6322452,Asilomar SMR,SMR,2007,Mainland,UCSC,2007,7,24,SBTL_SWATH
27,ASILOMAR_UC,SASL02,-121.9455894,36.636512,Asilomar SMR,SMR,2007,Mainland,UCSC,2007,7,24,SBTL_SWATH
28,BIG_CREEK_DC,SBGC02,-121.6051153,36.0690791,Big Creek SMR,SMR,1994,Mainland,UCSC,2001,9,14,SBTL_SWATH
29,BIG_CREEK_UC,SBGC01,-121.6080395,36.0691516,Big Creek SMR,SMR,1994,Mainland,UCSC,2001,9,14,SBTL_SWATH
30,BIRD_ROCK_CEN,SBRD01,-121.97135,36.59343,Asilomar SMR,reference,0,Mainland,UCSC,2007,7,24,SBTL_SWATH
31,BIXBY_CEN,SBIX01,-121.9074994,36.3684681,Pt Lobos SMR,reference,0,Mainland,UCSC,2007,9,27,SBTL_SWATH
32,BLUEFISH_DC,SBLF02,-121.9487775,36.525143,Pt Lobos SMR,SMR,2007,Mainland,UCSC,1999,9,22,SBTL_SWATH
33,BLUEFISH_UC,SBLF01,-121.9435417,36.5222251,Pt Lobos SMR,SMR,2007,Mainland,UCSC,1999,9,22,SBTL_SWATH
34,BUCHON_CEN,SBCH01,-120.9010977,35.2440785,Pt. Buchon SMR,SMR,2007,Mainland,UCSC,2007,9,25,SBTL_SWATH
35,BULLITO_CEN,SBUL01,-120.33205,34.45543333,NONE,reference,0,Mainland,UCSB,2010,7,27,SBTL_SWATH
36,BUTTERFLY_DC,SBUT02,-121.9356697,36.5374389,Carmel Bay SMCA,SMCA,1933,Mainland,UCSC,2006,8,22,SBTL_SWATH
37,BUTTERFLY_UC,SBUT01,-121.9362971,36.5396554,Carmel Bay SMCA,SMCA,1933,Mainland,UCSC,2006,8,22,SBTL_SWATH
38,CAMBRIA_DC,SCAM02,-121.1243185,35.5678931,Cambria SMCA,SMCA,2007,Mainland,UCSC,2002,10,5,SBTL_SWATH
39,CAMBRIA_UC,SCAM01,-121.1271452,35.5704948,Cambria SMCA,SMCA,2007,Mainland,UCSC,2002,10,4,SBTL_SWATH
40,CANNERY_DC,SCAN02,-121.8960366,36.6149533,Edward  Ricketts SMCA,SMCA,2007,Mainland,UCSC,2007,8,16,SBTL_SWATH
41,CANNERY_UC,SCAN01,-121.8945742,36.6126385,Edward  Ricketts SMCA,SMCA,2007,Mainland,UCSC,2007,8,17,SBTL_SWATH
42,CAYUCOS_DC,SCAY02,-120.9472565,35.4343931,White Rock SMCA,reference,0,Mainland,UCSC,2003,8,4,SBTL_SWATH
43,CAYUCOS_UC,SCAY01,-120.9504729,35.4341503,White Rock SMCA,reference,0,Mainland,UCSC,2003,8,4,SBTL_SWATH
44,CHINA_ROCK_CEN,SCHN01,-121.9724191,36.5984362,Asilomar SMR,reference,0,Mainland,UCSC,2007,7,25,SBTL_SWATH
45,COJO_E,SCOJ02,-120.4167926,34.4412874,Point Conception SMR,SMCA,2012,Mainland,UCSB,1999,9,21,SBTL_SWATH
46,COJO_W,SCOJ01,-120.4233264,34.443204,Point Conception SMR,SMCA,2012,Mainland,UCSB,1999,9,21,SBTL_SWATH
47,COOPER_CEN,SCPR01,-121.8566084,36.2631456,Point Sur SMR,SMR,2007,Mainland,UCSC,2007,9,13,SBTL_SWATH
48,COUNTY_LINE_CEN,SCOL01,-118.9522167,34.04301667,NONE,reference,0,Mainland,UCSB,2010,9,14,SBTL_SWATH
49,CROWBAR_CEN,SCRW01,-120.8814268,35.2261632,Pt. Buchon SMR,SMR,2007,Mainland,UCSC,2007,9,26,SBTL_SWATH
50,CYPRESS_PT_DC,SCYP02,-121.9824678,36.5796455,Carmel Bay SMCA,reference,0,Mainland,UCSC,2007,7,27,SBTL_SWATH
51,CYPRESS_PT_UC,SCYP01,-121.9803309,36.5857737,Asilomar SMR,reference,0,Mainland,UCSC,2007,7,27,SBTL_SWATH
52,DOLAN_DC,SDLN02,-121.6283739,36.1001754,Big Creek SMR,SMR,2007,Mainland,UCSC,2007,7,18,SBTL_SWATH
